instance,bnp_nodes,bnp_time,root_time,bnp_gap,root_gap
tree_lg_1,1,17.9,19.8,0.0,0.0
tree_lg_2,1,15.8,17.4,0.0,0.0
tree_lg_3,75,1011.1,16.4,0.0,0.26
tree_lg_4,1,21.4,22.9,0.0,0.0
tree_lg_5,1303,18680.1,15.4,0.0,0.26
tree_lg_6,27,253.6,12.7,0.0,0.0
tree_lg_7,7,65.2,11.0,0.0,0.49
tree_lg_8,5,78.1,19.6,0.0,0.0
tree_lg_9,259,5437.9,20.4,0.0,0.82
tree_lg_10,1,20.0,18.4,0.0,0.0
tree_lg_11,31,403.4,18.0,0.0,0.0
tree_lg_12,1,18.5,18.8,0.0,0.0
tree_lg_13,1,28.8,24.4,0.0,0.0
tree_lg_14,1,27.8,24.7,0.0,0.0
tree_lg_15,1,21.2,19.8,0.0,0.0
tree_lg_16,1,27.2,24.9,0.0,0.0
tree_lg_17,3,39.2,15.0,0.0,0.0
tree_lg_18,3,44.0,18.6,0.0,0.0
tree_lg_19,1,17.2,15.7,0.0,0.0
tree_lg_20,1,12.5,12.7,0.0,0.0
tree_lg_21,1,27.0,23.5,0.0,0.0
tree_lg_22,43,493.1,14.2,0.0,0.0
tree_lg_23,3,49.5,17.0,0.0,0.0
tree_lg_24,1,18.4,18.2,0.0,0.0
tree_lg_25,5,82.7,23.8,0.0,0.0
voronoi_medium_1,1,78.4,72.2,0.0,0.0
voronoi_medium_2,3,243.2,125.4,0.0,0.01
voronoi_medium_3,1,59.4,62.5,0.0,0.0
voronoi_medium_4,1,79.1,71.7,0.0,0.0
voronoi_medium_5,117,5268.6,74.3,0.0,0.8
voronoi_medium_6,3,121.3,48.4,0.0,0.0
voronoi_medium_7,115,4916.3,93.5,0.0,0.7
voronoi_medium_8,1,94.5,86.8,0.0,0.0
voronoi_medium_9,1,142.8,154.7,0.0,0.0
voronoi_medium_10,1,79.5,77.5,0.0,0.0
voronoi_medium_11,39,1876.1,78.1,0.0,0.0
voronoi_medium_12,1,148.2,147.8,0.0,0.0
voronoi_medium_13,1,58.7,62.0,0.0,0.0
voronoi_medium_14,5,563.3,221.3,0.0,0.0
voronoi_medium_15,417,24469.1,74.7,0.0,0.35
voronoi_medium_16,7,537.6,118.8,0.0,0.0
voronoi_medium_17,9,1231.8,266.2,0.0,0.0
voronoi_medium_18,201,9431.2,130.2,0.0,0.0
voronoi_medium_19,1,86.8,95.6,0.0,0.0
voronoi_medium_20,1,135.0,123.2,0.0,0.0
voronoi_medium_21,67,5279.8,172.1,0.0,0.47
voronoi_medium_22,325,23271.9,111.6,0.0,0.71
voronoi_medium_23,1021,86400,281.4,0.37,0.37
voronoi_medium_24,31,1992.3,117.8,0.0,0.0
voronoi_medium_25,31,2509.6,184.1,0.0,0.0
voronoi_medium_26,1543,86400,155.6,2.14,2.14
voronoi_medium_27,1,83.4,90.5,0.0,0.0
voronoi_medium_28,219,20579.1,245.8,0.0,0.0
voronoi_medium_29,9,1082.2,186.1,0.0,0.04
voronoi_medium_30,1,223.7,222.7,0.0,0.0
voronoi_medium_31,285,25657.5,349.7,0.0,0.0
voronoi_medium_32,73,3501.5,80.9,0.0,0.0
voronoi_medium_33,105,13516.3,274.4,0.0,0.0
voronoi_medium_34,1,134.2,148.0,0.0,0.0
voronoi_medium_35,1,134.7,123.8,0.0,0.0
voronoi_medium_36,21,4214.2,269.7,0.0,1.35
voronoi_medium_37,1,186.8,184.6,0.0,0.0
voronoi_medium_38,1167,86400,267.7,0.43,0.77
voronoi_medium_39,7,1909.0,400.3,0.0,0.0
voronoi_large_1,11,3711.9,494.0,0.0,0.0
voronoi_large_2,1,95.0,91.5,0.0,0.0
voronoi_large_3,175,15121.1,200.3,0.0,3.04
voronoi_large_4,1,420.3,419.0,0.0,0.0
voronoi_large_5,163,13322.0,218.2,0.0,2.87
voronoi_large_6,19,1659.2,79.3,0.0,1.94
voronoi_large_7,1,187.4,189.8,0.0,0.0
voronoi_large_8,1,546.8,563.9,0.0,0.0
voronoi_large_9,3,696.8,326.7,0.0,0.0
voronoi_large_10,207,22592.3,230.3,0.0,0.0
voronoi_large_11,1,485.0,525.3,0.0,0.0
