instance,SCF,MCF,RAS,RNS,C2F
tree_lg_1,34.5,485.5,152.9,17.1,28.5
tree_lg_2,18.9,329.3,202.3,12.0,25.0
tree_lg_3,26.1,325.4,185.8,16.9,22.2
tree_lg_4,39.8,712.4,247.8,24.0,30.6
tree_lg_5,23.4,387.0,159.8,13.9,23.5
tree_lg_6,20.2,240.4,122.8,10.8,17.9
tree_lg_7,18.0,192.2,159.5,9.4,17.1
tree_lg_8,29.2,350.8,205.7,17.2,29.3
tree_lg_9,32.5,421.9,271.7,16.8,35.7
tree_lg_10,30.1,411.9,189.7,16.4,29.6
tree_lg_11,37.5,424.4,174.1,13.8,25.3
tree_lg_12,29.1,656.6,189.7,14.0,38.6
tree_lg_13,34.5,568.3,255.5,18.6,35.4
tree_lg_14,34.3,437.2,281.5,19.8,29.9
tree_lg_15,24.8,340.3,189.8,14.6,28.4
tree_lg_16,33.1,448.9,242.0,18.5,34.7
tree_lg_17,20.7,406.2,148.4,12.9,25.6
tree_lg_18,23.2,420.3,121.3,13.9,26.6
tree_lg_19,24.9,237.3,186.8,17.8,23.2
tree_lg_20,17.7,219.0,140.2,9.7,16.3
tree_lg_21,29.2,549.2,270.8,17.3,37.3
tree_lg_22,20.6,337.7,179.7,14.1,23.3
tree_lg_23,25.7,336.5,190.8,13.7,35.2
tree_lg_24,30.1,434.1,152.9,15.1,30.1
tree_lg_25,32.6,657.7,303.4,20.3,34.0
vornoi_medium_lg_1,701.7,2139.6,3248.6,1822.8,215.7
vornoi_medium_lg_2,534.5,3993.3,2874.2,2923.4,338.4
vornoi_medium_lg_3,859.9,5205.6,3356.9,4419.3,339.3
vornoi_medium_lg_4,1055.8,5179.4,4102.3,5571.0,498.5
vornoi_medium_lg_5,1134.4,8523.8,2981.7,8045.3,286.1
vornoi_medium_lg_6,792.0,8893.0,2669.2,5471.9,445.5
vornoi_medium_lg_7,1202.4,8904.0,2470.6,3664.2,332.8
vornoi_medium_lg_8,1272.3,6960.9,2588.1,7950.7,437.1
vornoi_medium_lg_9,1376.4,7163.7,3221.6,23886.2,510.4
vornoi_medium_lg_10,1407.5,7167.8,4387.9,17197.0,235.6
vornoi_medium_lg_11,1624.6,7946.5,3980.7,8832.4,493.1
vornoi_medium_lg_12,1813.1,7765.3,5076.7,10758.2,425.5
vornoi_medium_lg_13,1621.7,7511.9,3254.7,6687.3,430.3
vornoi_medium_lg_14,1359.1,7173.2,3184.3,13928.5,367.2
vornoi_medium_lg_15,1702.7,7290.6,4926.7,9007.7,591.0
vornoi_medium_lg_16,1626.5,7405.0,4653.7,7253.9,492.6
vornoi_medium_lg_17,1951.2,11839.9,5037.9,12433.5,1128.3
vornoi_medium_lg_18,1888.6,9744.9,3377.2,10040.5,761.8
vornoi_medium_lg_19,1664.6,11351.3,4815.6,86782.4,487.8
vornoi_medium_lg_20,2585.7,12658.5,6296.2,11238.8,1329.5
vornoi_medium_lg_21,2105.8,11494.3,5793.4,17340.1,718.0
vornoi_medium_lg_22,2345.6,6835.4,3719.1,16707.1,697.1
vornoi_medium_lg_23,2303.3,21867.9,8425.2,25519.7,864.9
vornoi_medium_lg_24,2295.5,15919.6,5237.3,24238.1,779.9
vornoi_medium_lg_25,3084.2,11024.3,4849.7,86400.0,719.3
vornoi_medium_lg_26,3166.7,17360.0,5308.4,43213.5,1174.7
vornoi_medium_lg_27,2986.5,9246.9,5339.3,70214.1,750.1
vornoi_medium_lg_28,2886.4,21017.4,6438.1,76659.6,1383.3
vornoi_medium_lg_29,3182.6,18726.9,7433.3,31628.9,1449.1
vornoi_medium_lg_30,2672.7,15884.7,4242.6,37049.3,1411.3
vornoi_medium_lg_31,3066.5,20634.7,5958.0,81339.9,1818.3
vornoi_medium_lg_32,3259.6,17066.2,3938.2,78311.4,923.6
vornoi_medium_lg_33,4430.4,22072.7,4460.1,86400.0,2056.0
vornoi_medium_lg_34,4872.0,25298.6,5384.1,86400.0,1248.0
vornoi_medium_lg_35,4573.9,17811.0,4511.2,86400.0,902.7
vornoi_medium_lg_36,4294.7,14650.5,5320.5,40284.6,1468.2
vornoi_medium_lg_37,3488.8,17350.2,4198.8,46852.0,1088.1
vornoi_medium_lg_38,3160.1,15752.7,5916.3,84840.9,997.4
vornoi_medium_lg_39,3933.2,23091.6,8522.8,61236.7,1487.3
vornoi_large_lg_1,3021.3,43930.2,12430.5,86400.0,2446.6
vornoi_large_lg_2,2716.8,28239.8,6580.8,86400.0,1467.4
vornoi_large_lg_3,3151.0,13727.5,5720.3,32128.3,612.5
vornoi_large_lg_4,3595.4,23872.7,7096.6,81664.3,2229.9
vornoi_large_lg_5,2738.8,11749.8,4254.6,38252.0,693.1
vornoi_large_lg_6,5928.8,22248.0,7794.6,86400.0,795.0
vornoi_large_lg_7,4439.8,30538.6,7915.5,86400.0,1220.7
vornoi_large_lg_8,7013.6,48318.9,11675.0,86400.0,2306.2
vornoi_large_lg_9,7967.8,24830.1,8400.5,86400.0,1719.8
vornoi_large_lg_10,9842.8,36972.8,9826.4,86400.0,1386.7
vornoi_large_lg_11,18632.1,65495.8,13207.9,86400.0,5542.4
