instance,---,--L,-P-,H--,-PL,H-L,HP-,HPL
tree_lg_1,130.0,79.8,53.5,65.4,34.5,41.0,27.8,19.5
tree_lg_2,138.9,71.9,36.1,51.9,18.9,33.2,25.4,17.7
tree_lg_3,142.2,75.4,53.3,66.2,26.1,45.6,23.9,16.6
tree_lg_4,216.8,82.5,90.4,75.6,39.8,42.9,34.2,23.2
tree_lg_5,124.8,76.1,37.7,49.6,23.4,35.6,28.2,15.9
tree_lg_6,112.6,57.3,32.4,48.0,20.2,27.2,19.4,12.9
tree_lg_7,104.2,50.8,27.1,47.5,18.0,29.0,19.9,11.2
tree_lg_8,138.1,90.5,45.2,62.2,29.2,41.7,26.2,20.1
tree_lg_9,155.0,87.4,62.1,62.8,32.5,39.8,30.2,20.8
tree_lg_10,166.2,67.6,82.2,63.5,30.1,35.9,33.8,18.9
tree_lg_11,107.2,60.7,47.1,57.9,37.5,30.6,24.6,18.3
tree_lg_12,149.3,67.8,50.8,50.9,29.1,36.7,27.6,19.3
tree_lg_13,182.9,86.9,89.2,70.6,34.5,43.5,34.1,24.6
tree_lg_14,219.5,95.8,67.0,69.8,34.3,46.6,41.1,25.2
tree_lg_15,182.3,65.9,58.2,80.3,24.8,33.9,23.9,19.9
tree_lg_16,172.0,91.5,61.7,64.4,33.1,47.7,30.3,25.4
tree_lg_17,125.9,63.9,44.5,53.2,20.7,34.2,25.9,15.1
tree_lg_18,141.1,80.9,38.9,62.0,23.2,40.0,25.8,19.1
tree_lg_19,153.0,81.2,40.3,50.7,24.9,33.7,20.0,15.8
tree_lg_20,96.1,56.2,27.7,38.9,17.7,23.5,19.9,12.9
tree_lg_21,165.1,82.4,70.8,68.6,29.2,40.4,32.6,24.0
tree_lg_22,122.6,70.9,38.5,49.5,20.6,31.2,22.9,14.8
tree_lg_23,124.8,60.5,49.2,46.2,25.7,33.5,25.4,17.4
tree_lg_24,179.1,67.4,50.3,58.5,30.1,38.0,26.7,18.4
tree_lg_25,162.6,94.0,62.0,65.4,32.6,39.7,37.0,24.5
vornoi_medium_lg_1,1467.0,612.6,1011.0,310.7,701.7,139.6,197.5,98.3
vornoi_medium_lg_2,2113.8,704.6,1042.2,472.3,534.5,241.8,197.8,131.6
vornoi_medium_lg_3,2527.0,1063.1,1984.2,296.2,859.9,177.0,253.4,94.3
vornoi_medium_lg_4,2625.8,1110.9,1733.5,104.6,1055.8,90.7,89.5,80.4
vornoi_medium_lg_5,3669.9,1349.3,2427.1,358.8,1134.4,91.2,269.4,132.9
vornoi_medium_lg_6,2369.0,1010.8,2039.6,172.9,792.0,80.1,109.5,63.6
vornoi_medium_lg_7,5507.9,2647.7,2169.4,444.0,1202.4,217.4,208.1,151.2
vornoi_medium_lg_8,3914.7,1728.1,2677.7,128.8,1272.3,113.2,92.1,126.6
vornoi_medium_lg_9,4158.9,1511.5,3248.8,439.4,1376.4,294.4,270.3,180.7
vornoi_medium_lg_10,3586.3,1147.7,2939.5,308.7,1407.5,156.9,116.5,156.6
vornoi_medium_lg_11,3425.4,1895.4,2535.4,327.3,1624.6,197.0,150.9,159.9
vornoi_medium_lg_12,4585.9,1907.8,3490.1,275.7,1813.1,148.3,288.6,269.3
vornoi_medium_lg_13,4621.9,1983.2,2671.1,135.7,1621.7,128.7,102.4,93.5
vornoi_medium_lg_14,6014.8,2182.6,3197.3,734.0,1359.1,434.1,409.9,348.5
vornoi_medium_lg_15,5055.9,2531.7,3154.9,304.9,1702.7,273.1,293.4,114.1
vornoi_medium_lg_16,5751.2,2521.7,3228.3,683.3,1626.5,273.7,302.9,215.2
vornoi_medium_lg_17,4866.1,2091.1,3464.0,642.3,1951.2,331.0,394.4,336.4
vornoi_medium_lg_18,5471.3,2070.1,3068.5,216.0,1888.6,107.1,96.4,165.1
vornoi_medium_lg_19,6108.9,2398.1,3179.4,260.2,1664.6,130.9,122.5,133.8
vornoi_medium_lg_20,6149.2,2275.7,4017.9,513.6,2585.7,357.8,306.7,169.2
vornoi_medium_lg_21,6855.2,2333.4,3522.8,423.6,2105.8,330.0,462.1,309.2
vornoi_medium_lg_22,5351.5,2639.8,3020.6,370.2,2345.6,223.3,307.0,170.3
vornoi_medium_lg_23,9018.6,4034.5,5518.8,873.8,2303.3,545.7,712.3,455.5
vornoi_medium_lg_24,9424.1,2864.7,5165.4,434.9,2295.5,418.3,389.6,205.3
vornoi_medium_lg_25,8138.4,3223.3,5143.5,375.3,3084.2,206.0,371.2,375.0
vornoi_medium_lg_26,9295.5,3685.8,5800.7,279.8,3166.7,252.2,434.2,328.1
vornoi_medium_lg_27,7991.3,2839.8,5760.4,179.0,2986.5,138.5,142.3,141.9
vornoi_medium_lg_28,7960.7,4331.3,6874.2,686.1,2886.4,477.8,761.4,391.9
vornoi_medium_lg_29,5831.3,3472.5,4920.3,355.8,3182.6,447.6,593.0,258.6
vornoi_medium_lg_30,5803.8,3331.0,4977.4,643.4,2672.7,421.9,481.3,276.9
vornoi_medium_lg_31,6718.6,3932.6,5293.3,759.8,3066.5,258.9,477.5,266.3
vornoi_medium_lg_32,6739.9,4183.8,7297.0,146.6,3259.6,120.1,134.1,113.9
vornoi_medium_lg_33,9037.2,5649.3,7377.6,1103.6,4430.4,463.0,607.5,365.5
vornoi_medium_lg_34,8873.7,6020.8,6394.7,465.7,4872.0,158.6,218.4,315.4
vornoi_medium_lg_35,9173.3,5232.3,8254.6,409.0,4573.9,352.6,437.3,289.8
vornoi_medium_lg_36,8142.1,4894.2,9409.3,1280.6,4294.7,485.0,944.6,542.7
vornoi_medium_lg_37,6702.3,5229.3,5736.7,560.7,3488.8,573.1,509.1,257.5
vornoi_medium_lg_38,7363.2,4055.2,8090.3,759.4,3160.1,632.5,706.6,470.5
vornoi_medium_lg_39,9074.8,5894.1,8123.8,1791.9,3933.2,1001.4,1723.8,861.3
vornoi_large_lg_1,10088.2,3527.2,8896.4,1171.2,3021.3,527.1,630.6,486.5
vornoi_large_lg_2,11170.5,3126.1,8914.1,178.9,2716.8,135.9,135.5,103.6
vornoi_large_lg_3,10108.9,4229.5,8325.2,1145.4,3151.0,920.0,796.1,563.7
vornoi_large_lg_4,10581.1,4052.6,8162.6,1075.8,3595.4,944.1,811.1,464.5
vornoi_large_lg_5,10485.0,4660.7,6225.0,1137.7,2738.8,517.0,699.3,355.1
vornoi_large_lg_6,18246.5,5087.1,13753.2,576.5,5928.8,457.3,224.9,153.0
vornoi_large_lg_7,12104.3,4997.5,8853.1,1366.0,4439.8,686.7,512.2,369.4
vornoi_large_lg_8,22015.3,9659.7,14516.0,2693.7,7013.6,1490.8,2031.0,1033.7
vornoi_large_lg_9,15548.1,9745.3,14445.7,1830.1,7967.8,696.0,1376.1,464.6
vornoi_large_lg_10,26006.5,11306.2,17473.1,1299.9,9842.8,953.3,664.6,885.1
vornoi_large_lg_11,51420.6,16700.2,38055.2,2566.7,18632.1,806.6,1399.0,1290.3
