instance,---,--L,-P-,H--,-PL,H-L,HP-,HPL
tree_lg_1,122.5,64.6,47.0,51.3,23.9,40.7,23.2,23.6
tree_lg_2,112.4,67.7,29.1,47.0,17.6,26.0,22.1,11.7
tree_lg_3,159.5,59.3,43.4,74.4,22.3,32.5,21.3,14.8
tree_lg_4,173.5,69.8,49.3,78.8,30.5,39.5,31.6,20.7
tree_lg_5,124.8,56.0,29.3,59.1,17.3,26.9,20.1,13.1
tree_lg_6,109.3,49.9,16.3,37.7,11.8,25.7,14.4,9.5
tree_lg_7,86.0,43.1,25.3,47.2,14.3,20.8,19.5,10.4
tree_lg_8,130.3,61.6,40.2,49.5,20.0,31.5,20.9,13.6
tree_lg_9,175.5,66.7,43.6,57.2,24.8,29.5,25.5,16.7
tree_lg_10,134.5,55.1,49.7,45.8,21.4,32.0,26.6,17.1
tree_lg_11,102.3,51.6,37.0,44.2,24.1,27.4,19.5,17.0
tree_lg_12,103.0,56.6,39.3,39.4,20.4,29.7,24.4,14.0
tree_lg_13,149.6,66.9,53.2,61.7,26.2,33.7,33.6,17.2
tree_lg_14,180.7,56.4,68.6,74.6,24.9,45.8,31.8,18.4
tree_lg_15,149.3,71.6,37.9,68.7,21.3,35.2,26.3,15.9
tree_lg_16,120.8,65.2,39.1,57.7,20.8,39.6,23.3,17.6
tree_lg_17,99.5,56.0,26.7,59.4,16.2,27.0,18.5,12.8
tree_lg_18,98.2,65.2,34.1,50.1,18.9,31.4,22.3,18.3
tree_lg_19,135.9,62.7,36.3,48.8,17.3,27.2,17.5,12.1
tree_lg_20,77.6,43.5,21.2,35.9,13.3,22.4,17.2,10.5
tree_lg_21,126.5,63.7,43.4,61.4,26.4,33.3,28.3,18.4
tree_lg_22,105.2,48.8,31.3,42.3,16.6,28.0,16.9,12.6
tree_lg_23,93.2,50.0,34.7,55.4,17.3,25.9,25.1,15.7
tree_lg_24,149.0,61.1,39.4,59.9,17.9,32.1,19.7,14.6
tree_lg_25,163.1,75.0,43.6,59.2,34.5,41.5,25.0,20.1
voronoi_medium_lg_1,1412.2,837.5,1254.8,344.7,628.3,271.2,286.0,211.0
voronoi_medium_lg_2,1817.7,991.0,1059.1,281.6,556.1,204.0,304.2,67.7
